料理名,材料,調理手順
鯖の味噌煮,"鯖の切り身 4枚, 味噌 50g, 砂糖 2大さじ, 酒 100ml, みりん 50ml, 生姜のスライス 少々","鯖を茹で血合いを取る, 味噌ベースのタレを作り煮込む"
きんぴらごぼう,"ごぼう 300g, にんじん 100g, ごま油 大さじ2, 醤油 大さじ2, 砂糖 大さじ1, 鷹の爪 1本",ごぼう、にんじんを炒め、調味料で味付け
豚のしょうが焼き,"豚ロース肉 400g, 生姜 1片, 醤油 大さじ4, 砂糖 大さじ2, 酒 大さじ2, みりん 大さじ2",生姜ベースのタレで豚肉を漬け、焼く
茶碗蒸し,"卵 3個, だし汁 400ml, 醤油 小さじ1, 塩 少々, 鶏肉、しいたけ、かまぼこ、ほうれん草 適量",卵とだしで液体を作り、蒸し器で蒸す
海鮮丼,"ごはん 2合分, まぐろ、サーモン、イカ 適量, わさび、醤油 適量",切り分けた魚介をごはんに乗せ、わさびで食べる
お好み焼き,"小麦粉 100g, 卵 1個, 水 120ml, キャベツ 200g, 豚バラ肉 適量, 天かす、紅しょうが、ネギ お好みで",生地を作り、具材をのせて鉄板で焼く
筑前煮,"鶏肉 200g, にんじん、れんこん、ごぼう、こんにゃく、里芋 各適量, だし汁 500ml, 醤油 大さじ3, 砂糖 大さじ2, みりん 大さじ2",具材を切り、だしで煮込む
チキン南蛮,"鶏もも肉 2枚, 醤油 大さじ3, みりん 大さじ2, 砂糖 大さじ1, 卵、マヨネーズ、刻んだピクルス (タルタルソース用)","鶏肉を塩こしょうで下味をつけ、衣をつけて揚げる, タレに漬け、タルタルソースをかける"
鶏肉の照り焼き,"鶏もも肉 300g, 醤油 大さじ3, みりん 大さじ2, 砂糖 大さじ1",鶏肉を適当な大きさに切り、醤油、みりん、砂糖を混ぜたタレで照り焼きにする
餃子,"餃子の皮 1袋, 豚ひき肉 300g, キャベツ 150g, ニラ 100g, 生姜 1片, 醤油、酒、ごま油 適量",具を混ぜて餃子の皮で包み、フライパンで焼き、水を加え蓋をして蒸し焼きにする
味噌汁,みそ、だし、豆腐、わかめ、ねぎ,だしを沸かし、具材を加えて煮る。火を止めてから味噌を溶かす
天ぷら,エビ、ナス、さつまいも、かぼちゃ、小麦粉、卵、冷水,野菜や海老を小麦粉と卵と冷水で作った衣で包み、180度の油で揚げる
すき焼き,牛肉、白菜、ねぎ、しいたけ、砂糖、醤油、みりん、酒,砂糖、醤油、みりん、酒で調味液を作り、肉と野菜を煮る
おにぎり,ごはん、海苔、塩、お好みで具材（梅干し、鮭、ツナマヨなど）,ごはんに塩を混ぜ、手で握り、海苔で包む
かつおのたたき,かつおの塊、にんにく、しょうが、醤油、みりん、酒,かつおを塩で揉んで炙り、冷ましてからたれと共に食べる
焼き鳥,鶏もも肉、塩、醤油、みりん、砂糖、ネギ、しいたけ,鶏肉を串に刺し、塩やタレで味付けして焼く
うなぎの蒲焼,うなぎ、たれ（醤油、みりん、砂糖、酒）、山椒,うなぎを蒸してから焼き、たれで味付けする
煮魚,白身魚、しょうが、醤油、みりん、酒、砂糖,白身魚をしょうがと共に煮る、たれで味付け
おでん,大根、こんにゃく、たまご、じゃがいも、だし、醤油、みりん,具材をだしで煮込み、各自で醤油やからしを加えて食べる
麻婆豆腐,豆腐、豚ひき肉、にんにく、しょうが、豆板醤、醤油、砂糖、鶏ガラスープ,豆腐を湯で茹でる、ひき肉と調味料で炒めた後、豆腐を加えて煮る
回鍋肉,豚バラ肉、ピーマン、にんにく、しょうが、豆板醤、醤油、砂糖,豚肉を炒めた後、野菜と調味料を加えて炒め合わせる
酢豚,豚肉、パイナップル、ピーマン、醤油、酢、砂糖、ケチャップ,豚肉を揚げ、野菜と一緒に酢豚用ソースで炒める
春巻き,キャベツ、にんじん、豚肉、春巻きの皮、醤油、オイスターソース,具材を炒めて春巻きの皮で包み、揚げる
担々麺,挽肉、しょうが、にんにく、豆板醤、醤油、砂糖、鶏ガラスープ、中華麺,挽肉と調味料を炒め、スープで煮た後、茹でた麺にかける
ラーメン,中華麺、チャーシュー、メンマ、ねぎ、鶏ガラスープ、醤油、豚骨,中華麺を茹で、スープと調味料で作ったスープに浸す。具材をトッピングする
肉まん,小麦粉、豚ひき肉、キャベツ、しょうが、にんにく、醤油、オイスターソース,具材を混ぜた肉まんの具を作り、生地で包んで蒸す
エビチリ,エビ、にんにく、しょうが、豆板醤、ケチャップ、砂糖、酒,エビを揚げてから、にんにくとしょうがで炒め、ソースで味付けする
牛肉のオイスターソース炒め,牛肉スライス、ピーマン、玉ねぎ、にんにく、オイスターソース、醤油、砂糖,牛肉と野菜を炒め、オイスターソースと調味料で味付けする
